,Date,Shift,Furnace_ID,Furnace_Type,Batch_Type,Production_Output (tons),Energy_Consumption (kWh),Furnace_Temperature (°C),Annealing_Time (hrs),Downtime (hrs),Ambient_Temperature (°C),Recycled_Content (%),Energy_Rating,Maintenance_Flag,Fuel_Type,Glass_Thickness (mm),Production_Target (tons),Defects_Percentage (%),Melting_Time (hrs),Cooling_Energy (kWh)
10,01-01-2023 10.00,Morning,Furnace_6,Gas,Borosilicate,179.26,4919.61,1608.6,1.28,3.86,21.6,39.0,C,Yes,Electricity,89.3,195.38,8.72,22.5,868.02
11,01-01-2023 11.00,Afternoon,Furnace_9,Gas,Soda-lime,120.86,4435.3,1684.5,1.48,0.93,15.6,32.0,B,No,Electricity,5.04,118.63,0.89,20.7,934.45
12,01-01-2023 12.00,Night,Furnace_2,Gas,Lead,61.55,2170.9,1567.8,1.38,4.63,20.3,11.0,A,No,Electricity,2.37,138.85,1.58,19.6,339.73
13,01-01-2023 13.00,Afternoon,Furnace_3,Gas,Borosilicate,179.03,1732.32,1661.5,3.61,2.615,16.2,26.0,A,Yes,Electricity,5.82,138.44,7.6,11.0,582.61
14,01-01-2023 14.00,Afternoon,Furnace_7,Hybrid,Soda-lime,161.88,2143.46,1453.0,0.75,2.19,21.8,65.0,C,Yes,Electricity,6.53,113.43,4.92,11.8,374.37
15,01-01-2023 15.00,Night,Furnace_10,Hybrid,Lead,106.08,845.35,1625.8,2.06,0.63,16.0,9.0,C,Yes,Natural Gas,13.58,174.78,3.28,12.4,408.05
16,01-01-2023 16.00,Afternoon,Furnace_2,Gas,Borosilicate,73.05,4522.31,15707.0,3.64,1.36,17.5,13.0,B,Yes,Natural Gas,6.95,140.27,0.46,17.6,367.97
17,01-01-2023 17.00,Morning,Furnace_5,Hybrid,Soda-lime,37.24,4512.6,1434.3,1.69,3.48,34.2,66.0,A,No,Electricity,7.64,197.33,4.37,11.9,978.03
18,01-01-2023 18.00,Afternoon,Furnace_8,Hybrid,Lead,129.1,1083.94,1553.2,2.45,4.38,31.6,31.0,A,No,Natural Gas,11.4,145.79,1.75,16.5,636.89
19,01-01-2023 19.00,Afternoon,Furnace_7,Electric,Lead,47.53,937.28,1620.0,3.61,1.43,36.8,26.0,A,No,Natural Gas,56.6,169.75,4.94,14.7,735.95
20,01-01-2023 20.00,Morning,Furnace_9,Gas,Borosilicate,102.52,4540.84,1482.7,2.38,3.74,25.1,61.0,B,Yes,Natural Gas,4.41,123.96,2.43,13.9,891.99
21,01-01-2023 21.00,Afternoon,Furnace_9,Electric,Borosilicate,121.22,1737.32,1570.3,1.61,3.39,34.9,36.0,C,No,Electricity,22.9,116.245,7.59,19.8,752.6
22,01-01-2023 22.00,Morning,Furnace_4,Electric,Lead,53.35,3723.84,1679.2,2.77,0.41,36.3,60.0,C,No,Natural Gas,11.03,137.08,3.44,22.7,564.095
23,01-01-2023 23.00,Morning,Furnace_8,Electric,Soda-lime,61.11,872.73,1401.6,3.56,0.05,17.6,67.0,C,Yes,Electricity,3.8,127.45,1.69,16.35,582.85
24,02-01-2023 0.00,Night,Furnace_5,Hybrid,Lead,25.39,4292.82,1574.1,3.29,1.5,29.2,61.0,A,No,Natural Gas,9.41,186.39,5.12,11.4,536.1
25,02-01-2023 1.00,Morning,Furnace_1,Gas,Borosilicate,169.32,2781.45,1547.0,3.57,2.615,36.4,16.0,C,Yes,Natural Gas,9.94,119.45,4.37,12.0,940.5
26,02-01-2023 2.00,Afternoon,Furnace_8,Electric,Soda-lime,179.48,2251.1,1552.6,1.64,1.25,27.6,80.0,C,No,Natural Gas,8.17,153.3,4.84,10.2,178.57
27,02-01-2023 3.00,Morning,Furnace_7,Hybrid,Lead,182.08,2312.2,1518.2,1.88,4.73,31.7,31.0,B,No,Electricity,9.28,59.45,7.73,12.7,914.5
28,02-01-2023 4.00,Afternoon,Furnace_6,Gas,Lead,72.77,3048.24,1434.8,2.68,2.98,19.9,71.0,A,No,Electricity,8.69,86.86,9.41,22.5,524.13
29,02-01-2023 5.00,Night,Furnace_1,Electric,Soda-lime,123.58,2913.91,1694.1,1.09,4.39,26.1,2.0,C,Yes,Electricity,12.65,116.56,2.26,17.9,564.095
30,02-01-2023 6.00,Afternoon,Furnace_1,Hybrid,Lead,187.56,783.4,1598.4,1.89,2.09,27.9,72.0,B,No,Natural Gas,9.85,36.08,9.59,22.9,481.67
31,02-01-2023 7.00,Afternoon,Furnace_4,Gas,Borosilicate,139.57,3822.0,1484.9,2.46,3.58,17.6,75.0,B,Yes,Electricity,10.26,30.13,5.76,15.7,614.48
32,02-01-2023 8.00,Night,Furnace_4,Gas,Borosilicate,39.03,3751.42,1612.7,2.59,3.17,38.2,76.0,B,Yes,Natural Gas,8.69,116.245,9.34,22.3,134.49
33,02-01-2023 9.00,Morning,Furnace_6,Electric,Borosilicate,148.15,2353.94,1608.1,2.48,2.615,21.0,8.0,A,No,Natural Gas,10.71,159.92,4.32,16.35,138.27
34,02-01-2023 10.00,Afternoon,Furnace_8,Gas,Lead,93.22,3380.03,1458.5,1.23,0.03,27.5,7.0,B,No,Electricity,11.88,126.05,4.91,10.2,900.48
35,02-01-2023 11.00,Afternoon,Furnace_3,Hybrid,Soda-lime,137.41,4239.16,1647.8,1.17,1.41,33.7,70.0,C,No,Natural Gas,7.54,89.05,9.27,16.35,235.05
36,02-01-2023 12.00,Morning,Furnace_7,Hybrid,Borosilicate,49.7,2953.58,1677.3,3.99,1.38,27.5,1.0,B,No,Natural Gas,5.8,79.31,8.24,16.8,103.42
37,02-01-2023 13.00,Morning,Furnace_9,Hybrid,Soda-lime,90.46,3952.17,1419.0,2.33,1.15,22.2,64.0,C,No,Electricity,5.03,182.98,8.65,22.0,124.58
38,02-01-2023 14.00,Night,Furnace_10,Hybrid,Lead,112.68,1617.31,1650.2,2.33,2.66,18.3,36.0,C,Yes,Natural Gas,11.49,163.14,4.89,9.9,991.56
39,02-01-2023 15.00,Night,Furnace_10,Hybrid,Borosilicate,28.68,1926.75,1552.6,3.89,3.16,33.3,74.0,B,Yes,Natural Gas,10.78,97.77,5.42,13.2,707.51
40,02-01-2023 16.00,Night,Furnace_1,Hybrid,Lead,145.26,4727.76,1458.2,2.0,2.79,31.9,73.0,B,No,Natural Gas,8.33,116.245,6.85,15.3,116.14
41,02-01-2023 17.00,Morning,Furnace_6,Electric,Lead,59.53,2626.13,1688.3,1.96,2.615,39.1,76.0,B,No,Natural Gas,12.32,56.54,1.34,21.0,319.72
42,02-01-2023 18.00,Afternoon,Furnace_2,Electric,Borosilicate,93.96,2913.91,1606.9,0.57,0.68,28.9,60.0,C,No,Natural Gas,12.59,79.34,8.61,15.0,564.095
43,02-01-2023 19.00,Night,Furnace_8,Gas,Borosilicate,152.25,2440.74,1480.1,3.18,2.37,26.9,16.0,B,No,Natural Gas,10.34,190.84,7.03,22.1,690.63
44,02-01-2023 20.00,Afternoon,Furnace_6,Gas,Soda-lime,44.38,3666.26,1486.7,3.21,3.47,26.6,67.0,A,No,Electricity,3.17,167.23,5.7,11.3,487.92
45,02-01-2023 21.00,Afternoon,Furnace_9,Electric,Borosilicate,38.02,4483.24,1512.7,1.23,3.13,38.3,69.0,C,No,Electricity,2.07,136.42,2.72,22.0,564.095
46,02-01-2023 22.00,Morning,Furnace_2,Hybrid,Borosilicate,44.25,2563.9,1686.7,1.43,0.02,26.6,66.0,B,No,Electricity,8.21,156.47,9.14,17.8,452.78
47,02-01-2023 23.00,Afternoon,Furnace_5,Gas,Borosilicate,74.86,2913.91,1432.9,2.01,31.8,35.8,49.0,A,Yes,Electricity,12.79,40.43,1.64,15.3,627.85
48,03-01-2023 0.00,Afternoon,Furnace_9,Gas,Lead,150.94,4161.78,1659.2,2.77,1.87,20.2,16.0,C,Yes,Natural Gas,9.99,94.07,0.67,16.7,943.16
49,03-01-2023 1.00,Afternoon,Furnace_7,Electric,Soda-lime,176.08,3483.12,1562.9,3.41,2.97,31.5,54.0,B,No,Electricity,10.58,126.48,1.59,18.5,519.19
50,03-01-2023 2.00,Morning,Furnace_1,Electric,Borosilicate,26.9,3562.18,1664.0,3.24,2.615,34.2,61.0,C,Yes,Electricity,2.99,78.91,4.1,21.8,950.8
51,03-01-2023 3.00,Night,Furnace_10,Hybrid,Soda-lime,117.46,2374.63,1409.4,2.82,3.38,20.3,35.0,A,No,Electricity,4.25,124.31,8.38,10.4,564.095
52,03-01-2023 4.00,Afternoon,Furnace_5,Gas,Lead,175.79,2646.54,1495.8,3.97,2.615,15.7,57.0,B,No,Electricity,7.35,122.13,4.85,17.7,765.32
53,03-01-2023 5.00,Morning,Furnace_3,Hybrid,Borosilicate,47.72,4592.19,1679.1,1.77,3.75,306.0,61.0,C,Yes,Natural Gas,7.73,116.245,7.9,15.8,942.11
54,03-01-2023 6.00,Morning,Furnace_10,Hybrid,Soda-lime,32.79,1055.29,1402.5,3.11,1.7,27.5,3.0,B,No,Natural Gas,13.53,195.15,3.38,22.2,482.16
55,03-01-2023 7.00,Morning,Furnace_1,Hybrid,Borosilicate,63.8,3571.57,1415.9,0.62,4.01,21.5,6.0,A,Yes,Natural Gas,2.53,146.39,8.18,16.8,328.54
56,03-01-2023 8.00,Night,Furnace_1,Hybrid,Borosilicate,119.03,2913.91,1432.9,2.28,0.79,28.5,5.0,A,No,Natural Gas,3.79,69.66,6.49,18.5,593.37
57,03-01-2023 9.00,Night,Furnace_4,Electric,Soda-lime,156.77,543.6,1479.6,2.14,1.77,27.1,54.0,C,Yes,Electricity,8.66,78.58,9.39,23.2,684.92
58,03-01-2023 10.00,Afternoon,Furnace_10,Hybrid,Lead,48.85,4272.22,1485.3,2.81,3.97,35.9,43.0,A,Yes,Natural Gas,7.46,37.53,4.26,10.2,233.71
59,03-01-2023 11.00,Morning,Furnace_4,Electric,Soda-lime,113.10499999999999,1935.85,1600.6,0.62,0.05,32.8,48.0,B,No,Electricity,10.14,174.79,0.25,9.9,664.4
60,03-01-2023 12.00,Night,Furnace_1,Electric,Borosilicate,193.1,954.38,1456.8,2.61,0.58,16.1,54.0,A,No,Natural Gas,13.84,110.67,8.55,18.5,139.39
61,03-01-2023 13.00,Afternoon,Furnace_10,Electric,Lead,94.59,4381.41,1412.7,1.34,3.63,27.5,67.0,A,Yes,Electricity,6.52,129.73,6.74,18.5,771.33
62,03-01-2023 14.00,Morning,Furnace_1,Hybrid,Soda-lime,149.85,6045.1,1665.4,3.94,4.98,27.5,34.0,B,No,Natural Gas,14.73,78.67,7.58,17.7,720.09
63,03-01-2023 15.00,Morning,Furnace_9,Hybrid,Lead,154.15,2159.94,1542.2,3.22,4.94,26.9,33.0,C,No,Natural Gas,8.69,31.62,7.85,21.0,730.41
64,03-01-2023 16.00,Morning,Furnace_6,Hybrid,Borosilicate,167.58,3314.75,1605.7,3.85,2.86,23.9,43.0,C,Yes,Natural Gas,8.69,143.06,5.27,17.4,735.77
65,03-01-2023 17.00,Morning,Furnace_5,Gas,Soda-lime,1237.4,4813.9,1621.0,3.13,2.43,22.9,12.0,C,Yes,Electricity,10.17,95.94,2.43,22.0,104.39
66,03-01-2023 18.00,Night,Furnace_6,Hybrid,Borosilicate,118.5,2913.91,1425.4,0.56,4.92,22.9,19.0,A,No,Natural Gas,13.2,103.66,4.72,14.2,705.14
67,03-01-2023 19.00,Morning,Furnace_5,Hybrid,Lead,22.99,2940.81,1491.6,4.0,0.44,36.7,13.0,B,Yes,Natural Gas,13.25,194.81,7.83,10.0,249.68
68,03-01-2023 20.00,Afternoon,Furnace_9,Gas,Lead,107.39,4734.1,1439.2,1.94,1.18,21.9,38.0,A,No,Natural Gas,6.57,65.04,7.45,21.8,828.43
69,03-01-2023 21.00,Morning,Furnace_8,Hybrid,Borosilicate,128.55,1072.62,1479.9,1.31,2.33,20.2,78.0,C,Yes,Electricity,7.7,437.9,3.21,19.9,846.62
70,03-01-2023 22.00,Morning,Furnace_5,Electric,Lead,90.79,2913.91,1466.8,2.33,1.97,28.5,39.0,A,Yes,Electricity,10.93,107.63,9.35,14.8,742.5
71,03-01-2023 23.00,Afternoon,Furnace_6,Gas,Soda-lime,199.94,824.44,1604.7,1.05,0.06,36.5,73.0,C,Yes,Electricity,5.68,37.12,7.78,15.4,795.64
72,04-01-2023 0.00,Afternoon,Furnace_2,Hybrid,Soda-lime,104.7,4318.88,1646.6,2.73,2.84,28.0,31.0,C,Yes,Natural Gas,6.44,164.69,4.57,22.6,885.19
73,04-01-2023 1.00,Morning,Furnace_6,Electric,Lead,33.57,2811.04,1636.5,3.37,3.88,29.5,60.0,C,Yes,Natural Gas,12.75,53.22,2.1,11.5,319.38
74,04-01-2023 2.00,Morning,Furnace_2,Hybrid,Lead,145.58,3594.44,1462.9,2.57,0.72,33.6,46.0,C,Yes,Natural Gas,10.15,76.55,3.17,16.35,467.48
75,04-01-2023 3.00,Morning,Furnace_3,Gas,Soda-lime,79.98,1621.41,1515.2,1.42,4.19,29.7,78.0,C,No,Natural Gas,9.04,99.6,4.43,8.9,402.86
76,04-01-2023 4.00,Afternoon,Furnace_7,Electric,Lead,113.10499999999999,4478.01,1604.6,2.62,4.84,30.9,72.0,C,No,Electricity,11.11,109.88,9.54,228.0,754.52
77,04-01-2023 5.00,Night,Furnace_7,Hybrid,Lead,193.75,4200.77,1448.0,2.33,0.14,29.7,6.0,A,Yes,Electricity,2.45,149.66,1.14,21.0,783.11
78,04-01-2023 6.00,Afternoon,Furnace_5,Gas,Soda-lime,150.83,3401.74,1679.0,1.99,2.43,34.0,51.0,A,Yes,Electricity,3.15,180.05,1.19,13.2,803.67
79,04-01-2023 7.00,Afternoon,Furnace_5,Gas,Lead,108.9,4089.32,1573.0,1.69,0.63,32.2,58.0,A,Yes,Natural Gas,13.29,148.05,6.35,12.4,146.94
80,04-01-2023 8.00,Morning,Furnace_8,Hybrid,Lead,84.03,2457.24,1473.3,3.92,2.84,34.3,80.0,B,Yes,Electricity,14.91,101.55,4.39,19.2,197.81
81,04-01-2023 9.00,Afternoon,Furnace_7,Electric,Lead,197.14,4432.87,1579.1,3.31,2.63,21.3,49.0,A,No,Natural Gas,13.93,89.72,8.47,187.0,587.08
82,04-01-2023 10.00,Night,Furnace_4,Hybrid,Lead,192.98,28906.6,1582.5,1.08,2.69,23.5,54.0,A,No,Natural Gas,8.69,38.25,4.12,17.4,101.4
83,04-01-2023 11.00,Morning,Furnace_1,Gas,Borosilicate,155.6,1289.17,1591.1,0.8,1.42,38.3,0.0,C,No,Electricity,13.53,194.53,8.67,17.4,475.94
84,04-01-2023 12.00,Night,Furnace_5,Gas,Borosilicate,63.12,4401.87,1524.1,3.8,3.23,26.2,26.0,A,Yes,Electricity,9.97,166.05,1.83,22.1,644.19
85,04-01-2023 13.00,Morning,Furnace_2,Electric,Soda-lime,61.02,1185.36,1453.5,2.33,0.08,16.4,44.0,A,No,Electricity,10.3,56.89,7.87,23.2,650.57
86,04-01-2023 14.00,Night,Furnace_5,Electric,Soda-lime,34.42,2071.45,1567.8,1.41,4.65,36.8,66.0,B,No,Natural Gas,3.98,155.27,9.28,12.3,745.75
87,04-01-2023 15.00,Morning,Furnace_5,Gas,Soda-lime,65.63,3878.02,1646.6,1.2,2.9,22.2,28.0,B,Yes,Electricity,5.15,116.8,0.8,18.4,945.09
88,04-01-2023 16.00,Afternoon,Furnace_5,Gas,Lead,152.31,2926.51,14720.0,28.1,0.72,39.6,28.0,B,Yes,Electricity,8.69,167.99,2.63,15.7,263.11
89,04-01-2023 17.00,Night,Furnace_4,Hybrid,Soda-lime,80.6,996.32,1536.4,2.86,3.26,36.1,79.0,C,No,Electricity,7.8,113.43,6.94,23.1,752.28
90,04-01-2023 18.00,Night,Furnace_9,Electric,Lead,193.86,2913.91,1509.8,1.1,0.6,22.9,68.0,C,No,Electricity,8.69,97.48,5.46,16.3,945.98
91,04-01-2023 19.00,Afternoon,Furnace_1,Electric,Soda-lime,95.68,3716.92,1559.2,2.94,3.79,16.3,35.0,A,Yes,Electricity,11.69,185.4,0.41,11.7,520.7
92,04-01-2023 20.00,Morning,Furnace_8,Gas,Borosilicate,179.61,4660.27,1408.2,1.1,4.78,36.6,72.0,B,No,Natural Gas,10.66,1787.8,6.21,18.5,954.94
93,04-01-2023 21.00,Night,Furnace_9,Hybrid,Lead,114.18,2913.91,1475.9,0.78,1.5,36.1,69.0,B,Yes,Natural Gas,3.07,106.29,8.26,23.0,564.095
94,04-01-2023 22.00,Afternoon,Furnace_2,Gas,Borosilicate,23.97,3757.42,1431.2,2.33,1.02,28.9,22.0,C,Yes,Natural Gas,9.79,81.97,6.69,23.2,598.05
95,04-01-2023 23.00,Afternoon,Furnace_10,Hybrid,Borosilicate,162.85,4089.28,1454.3,1.99,1.76,19.0,39.0,B,Yes,Natural Gas,5.92,110.38,3.89,20.2,638.86
96,05-01-2023 0.00,Morning,Furnace_2,Electric,Soda-lime,113.10499999999999,1558.7,1564.4,2.08,1.72,30.9,18.0,A,No,Electricity,14.44,163.68,6.16,17.9,116.76
97,05-01-2023 1.00,Afternoon,Furnace_8,Electric,Lead,187.62,16791.3,1552.6,2.33,3.02,20.1,3.0,A,No,Natural Gas,8.64,135.14,9.94,9.9,341.31
98,05-01-2023 2.00,Night,Furnace_5,Hybrid,Lead,152.07,3053.33,1683.3,0.68,2.1,26.3,13.0,A,Yes,Natural Gas,4.55,118.13,5.65,17.1,151.36
99,05-01-2023 3.00,Night,Furnace_2,Electric,Soda-lime,198.4,4708.61,1613.0,0.65,0.15,27.7,35.0,C,Yes,Electricity,3.11,132.7,8.3,16.4,907.58
100,05-01-2023 4.00,Morning,Furnace_5,Electric,Borosilicate,49.17,2913.91,1569.6,3.17,4.64,17.2,10.0,B,Yes,Natural Gas,8.03,75.24,3.11,17.3,209.11
101,05-01-2023 5.00,Night,Furnace_9,Electric,Lead,113.10499999999999,3997.0,1689.6,3.43,2.02,27.5,8.0,B,Yes,Natural Gas,14.73,150.81,3.44,13.7,202.42
102,05-01-2023 6.00,Morning,Furnace_8,Gas,Borosilicate,71.41,2747.79,1420.5,3.75,3.37,36.5,56.0,B,Yes,Electricity,8.72,114.31,9.46,16.4,426.65
103,05-01-2023 7.00,Afternoon,Furnace_8,Hybrid,Lead,151.54,4286.93,1628.9,1.27,1.58,27.6,53.0,B,No,Natural Gas,4.77,178.81,2.4,22.2,639.57
104,05-01-2023 8.00,Morning,Furnace_2,Electric,Lead,92.47,782.71,1503.3,1.63,4.2,28.7,73.0,A,No,Electricity,6.46,169.15,2.96,13.5,724.47
105,05-01-2023 9.00,Morning,Furnace_2,Electric,Lead,121.79,3135.62,1620.4,2.33,2.39,38.5,14.0,B,Yes,Natural Gas,5.19,99.98,9.05,18.0,564.095
106,05-01-2023 10.00,Morning,Furnace_3,Electric,Lead,173.45,3130.75,1505.8,2.47,4.92,15.3,26.0,C,Yes,Natural Gas,7.36,198.08,1.02,17.1,163.53
107,05-01-2023 11.00,Morning,Furnace_2,Gas,Lead,32.51,1018.28,1510.2,3.47,0.03,22.6,26.0,C,No,Electricity,12.27,36.91,4.04,21.0,621.61
108,05-01-2023 12.00,Night,Furnace_10,Hybrid,Borosilicate,149.22,3215.41,1602.7,0.58,2.69,38.2,28.0,C,Yes,Electricity,12.51,67.71,8.05,16.1,808.84
109,05-01-2023 13.00,Night,Furnace_5,Gas,Borosilicate,96.56,3889.39,1555.8,2.33,3.59,36.0,8.0,A,Yes,Electricity,10.28,150.82,4.95,20.5,849.19
110,05-01-2023 14.00,Morning,Furnace_8,Hybrid,Lead,22.63,4035.29,1631.4,1.38,0.57,30.9,13.0,B,No,Natural Gas,9.06,187.3,2.94,8.6,874.04
111,05-01-2023 15.00,Afternoon,Furnace_3,Hybrid,Borosilicate,128.67,3773.49,1678.3,0.78,1.91,22.6,48.0,B,Yes,Electricity,9.41,152.84,6.79,19.3,680.35
112,05-01-2023 16.00,Night,Furnace_8,Hybrid,Lead,58.67,3471.81,1423.0,1.71,1.14,21.6,75.0,C,No,Electricity,6.45,116.245,9.29,21.1,194.88
113,05-01-2023 17.00,Afternoon,Furnace_10,Gas,Borosilicate,109.78,2443.79,1544.9,2.02,4.39,18.8,32.0,B,Yes,Electricity,6.42,78.6,6.95,20.9,783.76
114,05-01-2023 18.00,Night,Furnace_2,Electric,Lead,23.04,1439.4,1498.2,2.61,15.1,30.5,65.0,C,Yes,Electricity,8.69,133.79,4.12,19.1,257.93
115,05-01-2023 19.00,Morning,Furnace_1,Hybrid,Soda-lime,142.64,1447.42,1636.4,3.65,4.73,21.6,10.0,B,No,Electricity,3.64,154.6,5.07,22.8,380.76
116,05-01-2023 20.00,Afternoon,Furnace_2,Hybrid,Borosilicate,169.87,3312.46,1440.9,1.75,3.34,22.5,53.0,B,Yes,Natural Gas,8.29,38.58,3.2,18.6,312.74
117,05-01-2023 21.00,Night,Furnace_8,Hybrid,Borosilicate,68.31,3731.3,1442.2,2.44,4.42,23.6,9.0,C,Yes,Electricity,14.82,175.9,0.84,14.6,465.03
118,05-01-2023 22.00,Morning,Furnace_2,Hybrid,Borosilicate,57.14,3780.34,1471.8,2.63,1.72,30.0,20.0,C,Yes,Electricity,11.95,50.94,6.09,22.4,123.81
119,05-01-2023 23.00,Night,Furnace_1,Gas,Soda-lime,199.47,1897.6,1697.7,3.34,0.25,20.9,8.0,A,Yes,Natural Gas,10.63,141.92,2.31,13.7,260.75
120,06-01-2023 0.00,Afternoon,Furnace_10,Gas,Lead,60.32,3232.1,1531.2,1.6,0.88,18.4,41.0,B,Yes,Electricity,12.99,144.4,4.37,15.6,494.51
121,06-01-2023 1.00,Night,Furnace_1,Hybrid,Soda-lime,36.79,4084.81,1464.3,1.41,0.94,32.3,50.0,B,No,Natural Gas,6.32,58.76,4.74,23.3,769.86
122,06-01-2023 2.00,Night,Furnace_2,Electric,Soda-lime,76.43,4103.53,1552.6,3.73,4.68,30.6,27.0,C,Yes,Natural Gas,5.36,167.33,0.33,23.7,425.06
123,06-01-2023 3.00,Morning,Furnace_4,Gas,Borosilicate,1289.7,4019.48,1515.8,3.31,2.07,20.2,39.0,B,Yes,Electricity,3.69,133.44,33.7,23.5,710.09
124,06-01-2023 4.00,Morning,Furnace_8,Gas,Soda-lime,23.2,4669.12,1638.9,3.38,1.3,26.0,7.0,A,No,Electricity,3.35,97.59,9.59,15.6,634.39
125,06-01-2023 5.00,Morning,Furnace_7,Gas,Lead,44.19,2135.03,1602.0,0.95,1.55,36.1,23.0,A,Yes,Natural Gas,3.07,122.25,3.13,22.3,135.53
126,06-01-2023 6.00,Morning,Furnace_6,Electric,Lead,95.81,4417.27,1454.1,3.31,4.88,39.6,56.0,A,Yes,Electricity,14.05,167.14,6.51,22.2,894.95
127,06-01-2023 7.00,Morning,Furnace_3,Hybrid,Soda-lime,148.52,2752.5,1543.8,3.26,0.38,21.6,11.0,C,No,Electricity,11.83,116.245,1.14,11.2,120.0
128,06-01-2023 8.00,Night,Furnace_4,Electric,Soda-lime,128.74,4123.43,1596.9,1.78,4.7,37.5,16.0,A,No,Electricity,9.5,138.48,4.51,13.5,134.14
129,06-01-2023 9.00,Night,Furnace_1,Hybrid,Borosilicate,189.91,2024.64,1567.2,1.06,3.76,24.6,76.0,B,No,Natural Gas,6.67,192.32,14.3,23.3,851.42
130,06-01-2023 10.00,Morning,Furnace_5,Gas,Borosilicate,106.23,4025.67,1552.6,2.64,2.84,22.5,8.0,C,Yes,Electricity,10.66,154.34,6.97,13.5,928.08
131,06-01-2023 11.00,Afternoon,Furnace_9,Electric,Lead,114.51,3069.24,1519.3,1.7,3.32,19.3,54.0,A,No,Electricity,14.35,1619.8,6.09,15.5,625.03
132,06-01-2023 12.00,Night,Furnace_3,Gas,Soda-lime,125.83,4655.85,1474.4,1.15,0.42,21.4,63.0,B,Yes,Electricity,7.16,177.1,2.19,22.5,876.82
133,06-01-2023 13.00,Morning,Furnace_8,Gas,Soda-lime,170.76,4203.99,1465.1,0.78,1.51,29.2,33.0,B,No,Electricity,7.11,132.17,6.14,13.7,407.19
134,06-01-2023 14.00,Afternoon,Furnace_9,Gas,Borosilicate,124.12,4036.45,1635.1,1.12,0.41,23.5,4.0,B,No,Natural Gas,8.14,64.78,4.84,11.1,6220.1
135,06-01-2023 15.00,Night,Furnace_1,Hybrid,Soda-lime,75.75,3559.46,1499.9,0.86,2.06,34.3,20.0,B,Yes,Electricity,14.23,96.72,9.53,16.35,959.83
136,06-01-2023 16.00,Night,Furnace_4,Electric,Lead,113.10499999999999,2829.14,1469.0,2.78,4.72,31.0,11.0,B,No,Electricity,7.38,153.02,4.44,19.9,822.89
137,06-01-2023 17.00,Afternoon,Furnace_9,Gas,Lead,47.22,1895.3,1678.4,1.26,4.06,21.9,39.0,A,Yes,Natural Gas,12.03,142.91,4.67,13.5,187.87
138,06-01-2023 18.00,Night,Furnace_2,Gas,Lead,194.98,4164.98,1489.8,3.68,1.7,17.1,40.0,C,No,Electricity,5.69,133.62,3.03,23.7,524.21
139,06-01-2023 19.00,Morning,Furnace_7,Gas,Soda-lime,113.10499999999999,1201.24,1549.5,26.3,3.67,25.3,46.0,C,No,Natural Gas,11.96,131.78,2.84,22.8,338.32
140,06-01-2023 20.00,Night,Furnace_5,Electric,Soda-lime,47.23,1708.45,1471.0,3.61,4.41,25.7,660.0,C,Yes,Natural Gas,9.31,128.92,4.41,14.0,629.91
